started
2017-1-15T12.12.9.331	Created parser
2017-1-15T12.12.9.331	Assigned names - going to load data
2017-1-15T12.12.9.331	Loading data
2017-1-15T12.12.9.331	Creating stop words manager
2017-1-15T12.12.9.333	Before big loop
2017-1-15T12.12.14.306	Opening sw stream with some words
2017-1-15T12.12.14.307	finalizing stats
2017-1-15T12.12.14.331	At line '53' in file ''	 Word twolevel is in 1 documents
2017-1-15T12.12.14.331	At line '53' in file ''	 Word bottomup is in 1 documents
2017-1-15T12.12.14.331	At line '53' in file ''	 Word constructiv is in 1 documents
2017-1-15T12.12.14.331	At line '53' in file ''	 Word mcgrew is in 1 documents
2017-1-15T12.12.14.332	At line '53' in file ''	 Word rodrik is in 1 documents
2017-1-15T12.12.14.332	At line '53' in file ''	 Word rissekappen is in 1 documents
2017-1-15T12.12.14.332	At line '53' in file ''	 Word cerni is in 1 documents
2017-1-15T12.12.14.332	At line '53' in file ''	 Word gowa is in 1 documents
2017-1-15T12.12.14.332	At line '53' in file ''	 Word graber is in 1 documents
2017-1-15T12.12.14.332	At line '53' in file ''	 Word koremeno is in 1 documents
2017-1-15T12.12.14.333	At line '53' in file ''	 Word kahler is in 1 documents
2017-1-15T12.12.14.333	At line '53' in file ''	 Word microdesign is in 1 documents
2017-1-15T12.12.14.333	At line '53' in file ''	 Word legaldescript is in 1 documents
2017-1-15T12.12.14.333	At line '53' in file ''	 Word bullmer is in 1 documents
2017-1-15T12.12.14.333	At line '53' in file ''	 Word brechin is in 1 documents
2017-1-15T12.12.14.334	At line '53' in file ''	 Word ness is in 1 documents
2017-1-15T12.12.14.334	At line '53' in file ''	 Word interestbas is in 1 documents
2017-1-15T12.12.14.334	At line '53' in file ''	 Word czempiel is in 1 documents
2017-1-15T12.12.14.334	At line '53' in file ''	 Word rosenau is in 1 documents
2017-1-15T12.12.14.334	At line '53' in file ''	 Word aceve is in 1 documents
2017-1-15T12.12.14.335	At line '53' in file ''	 Word osherenko is in 1 documents
2017-1-15T12.12.14.335	At line '53' in file ''	 Word sandholtz is in 1 documents
2017-1-15T12.12.14.335	At line '53' in file ''	 Word cowhey is in 1 documents
2017-1-15T12.12.14.335	At line '53' in file ''	 Word donnelli is in 1 documents
2017-1-15T12.12.14.335	At line '53' in file ''	 Word zacher is in 1 documents
2017-1-15T12.12.14.336	At line '53' in file ''	 Word finlayson is in 1 documents
2017-1-15T12.12.14.336	At line '53' in file ''	 Word mccalla is in 1 documents
2017-1-15T12.12.14.336	At line '53' in file ''	 Word jervi is in 1 documents
2017-1-15T12.12.14.336	At line '53' in file ''	 Word issuearea is in 1 documents
2017-1-15T12.12.14.336	At line '53' in file ''	 Word yarbrough is in 1 documents
2017-1-15T12.12.14.337	At line '53' in file ''	 Word minilater is in 1 documents
2017-1-15T12.12.14.337	At line '53' in file ''	 Word bernauer is in 1 documents
2017-1-15T12.12.14.337	At line '53' in file ''	 Word aggarwal is in 1 documents
2017-1-15T12.12.14.337	At line '53' in file ''	 Word hegemoni is in 1 documents
2017-1-15T12.12.14.337	At line '53' in file ''	 Word grieco is in 1 documents
2017-1-15T12.12.14.338	At line '53' in file ''	 Word pattison is in 1 documents
2017-1-15T12.12.14.338	At line '53' in file ''	 Word fratianni is in 1 documents
2017-1-15T12.12.14.338	At line '53' in file ''	 Word russett is in 1 documents
2017-1-15T12.12.14.338	At line '53' in file ''	 Word rittberg is in 1 documents
2017-1-15T12.12.14.338	At line '53' in file ''	 Word hasenclev is in 1 documents
2017-1-15T12.12.14.338	At line '53' in file ''	 Word ether is in 1 documents
2017-1-15T12.12.14.339	At line '53' in file ''	 Word ruggi is in 1 documents
2017-1-15T12.12.14.339	At line '53' in file ''	 Word normladen is in 1 documents
2017-1-15T12.12.14.339	At line '53' in file ''	 Word buzan is in 1 documents
2017-1-15T12.12.14.339	At line '53' in file ''	 Word hurrel is in 1 documents
2017-1-15T12.12.14.339	At line '53' in file ''	 Word finnemor is in 1 documents
2017-1-15T12.12.14.340	At line '53' in file ''	 Word grotius is in 1 documents
2017-1-15T12.12.14.340	At line '53' in file ''	 Word wight is in 1 documents
2017-1-15T12.12.14.340	At line '53' in file ''	 Word lowerord is in 1 documents
2017-1-15T12.12.14.340	At line '53' in file ''	 Word gilpin is in 1 documents
2017-1-15T12.12.14.340	At line '53' in file ''	 Word waltz is in 1 documents
2017-1-15T12.12.14.341	At line '53' in file ''	 Word irreduc is in 1 documents
2017-1-15T12.12.14.341	At line '53' in file ''	 Word importancewaltz is in 1 documents
2017-1-15T12.12.14.341	At line '53' in file ''	 Word wallerstein is in 1 documents
2017-1-15T12.12.14.341	At line '53' in file ''	 Word lenin is in 1 documents
2017-1-15T12.12.14.341	At line '53' in file ''	 Word depolitic is in 1 documents
2017-1-15T12.12.14.342	At line '53' in file ''	 Word tulumello is in 1 documents
2017-1-15T12.12.14.342	At line '53' in file ''	 Word schermer is in 1 documents
2017-1-15T12.12.14.342	At line '53' in file ''	 Word kirgi is in 1 documents
2017-1-15T12.12.14.342	At line '53' in file ''	 Word amerasingh is in 1 documents
2017-1-15T12.12.14.342	At line '53' in file ''	 Word viral is in 1 documents
2017-1-15T12.12.14.343	At line '53' in file ''	 Word nontheoret is in 1 documents
2017-1-15T12.12.14.343	At line '53' in file ''	 Word nato is in 1 documents
2017-1-15T12.12.14.343	At line '53' in file ''	 Word mingst is in 1 documents
2017-1-15T12.12.14.343	At line '53' in file ''	 Word preworld is in 1 documents
2017-1-15T12.12.14.343	At line '53' in file ''	 Word neofunct is in 1 documents
2017-1-15T12.12.14.343	At line '53' in file ''	 Word mitrani is in 1 documents
2017-1-15T12.12.14.344	At line '53' in file ''	 Word morgenthau is in 1 documents
2017-1-15T12.12.14.344	At line '53' in file ''	 Word alighieri is in 1 documents
2017-1-15T12.12.14.344	At line '53' in file ''	 Word dant is in 1 documents
